ISO_A3,NAM_1,NAM_2,date,ntl_sum,ntl_mean,ntl_median,ntl_max,ntl_q05,ntl_q95,southwest_group,post_padma
BGD,Barishal,Patuakhali,2021-02-01,1743.95703125,0.1512891948223114,0.0440599731238042,79.833740234375,0.0044059973123804,0.5782537033957081,1,0
BGD,Barishal,Pirojpur,2021-02-01,446.9383850097656,0.0757030174136161,0.2706526267352995,4.1257429122924805,0.0270652626735299,0.6352088387247078,1,0
BGD,Dhaka,Rajbari,2021-02-01,1078.3919677734375,0.1947072893381118,0.2341876277690481,5.711941719055176,0.0234187627769048,1.014881501261779,1,0
BGD,Rajshahi,Rajshahi,2021-02-01,3588.193115234375,0.2923945188522339,0.3019769981114847,19.644306182861328,0.0301976998111484,1.1909682368974197,0,0
BGD,Rangpur,Rangpur,2021-02-01,4306.6044921875,0.3601216375827789,0.3685547670250461,16.30377960205078,0.0368554767025046,1.3244939532346598,0,0
BGD,Khulna,Satkhira,2021-02-01,1552.8367919921875,0.135921761393547,0.2502097658648992,5.724855899810791,0.0250209765864899,0.8410515600635601,1,0
BGD,Dhaka,Shariatpur,2021-02-01,891.3938598632812,0.1625960767269134,0.297961809272653,14.664307594299316,0.0297961809272653,0.8999102541825174,1,0
BGD,Mymensingh,Sherpur,2021-02-01,2616.900390625,0.383797824382782,0.4082742264834966,13.003313064575195,0.0408274226483496,1.289878066388621,0,0
BGD,Rajshahi,Sirajganj,2021-02-01,4015.3916015625,0.3146945834159851,0.3534309689957518,37.36466217041016,0.0353430968995751,1.2526096433867409,0,0
BGD,Sylhet,Sunamganj,2021-02-01,1153.079345703125,0.0608649253845214,0.26285004827766,212.1027374267578,0.026285004827766,0.4994150917275541,0,0
BGD,Sylhet,Sylhet,2021-02-01,7831.75146484375,0.4443481862545013,0.3162879730397847,146.39846801757812,0.0316287973039784,1.6369468587025586,0,0
BGD,Dhaka,Tangail,2021-02-01,7879.58056640625,0.458050400018692,0.4479923565004839,19.84511375427246,0.0447992356500483,1.4856928307467785,0,0
BGD,Rangpur,Thakurgaon,2021-02-01,2057.66650390625,0.2188398689031601,0.3167071956768941,10.342355728149414,0.0316707195676894,1.0675190093888651,0,0
BGD,Khulna,Bagerhat,2021-03-01,3026.30224609375,0.2993963360786438,0.033634676326774,83.95565032958984,0.0033634676326774,1.0033312566551746,1,0
BGD,Chattogram,Bandarban,2021-03-01,713.2254028320312,0.0308331921696662,0.2570072232128359,6.7628278732299805,0.0257007223212835,0.4883137241043882,0,0
BGD,Barishal,Barguna,2021-03-01,385.4664306640625,0.0609662756323814,0.2643516070897607,9.37292766571045,0.026435160708976,0.514850850928052,1,0
BGD,Barishal,Barisal,2021-03-01,2456.443359375,0.2244902849197387,0.024746689873477,15.05087184906006,0.0024746689873477,1.0675610995432347,1,0
BGD,Barishal,Bhola,2021-03-01,1486.51806640625,0.1696303039789199,0.0056427978418335,40.03426742553711,0.0005642797841833,0.8612679119536593,1,0
BGD,Rajshahi,Bogura,2021-03-01,6548.46142578125,0.436402291059494,0.4014171887817749,12.037336349487305,0.0401417188781774,1.85391613360186,0,0
BGD,Chattogram,Brahmanbaria,2021-03-01,8318.8095703125,0.8583349585533142,0.6221176586144993,225.72840881347656,0.0571818434701924,2.230583429093546,0,0
BGD,Chattogram,Chandpur,2021-03-01,2244.187255859375,0.3018812537193298,0.3921279932514022,11.578155517578123,0.0392127993251402,0.9842287135541652,0,0
BGD,Rajshahi,Chapainawabganj,2021-03-01,1898.5198974609373,0.2135583609342575,0.315839649340261,7.357628345489502,0.0315839649340261,1.1416473312931363,0,0
BGD,Chattogram,Chittagong,2021-03-01,32795.1640625,1.5156716108322144,0.6146851575710994,143.47105407714844,0.0567793817520851,6.144700162801942,0,0
BGD,Khulna,Chuadanga,2021-03-01,1561.515625,0.2677109837532043,0.3580133934584644,6.1783647537231445,0.0358013393458464,1.1212467545791047,1,0
BGD,Chattogram,Cox's Bazar,2021-03-01,5377.9560546875,0.5207186937332153,0.0782512644545931,22.83397483825684,0.0078251264454593,2.1213016043136266,0,0
BGD,Chattogram,Cumilla,2021-03-01,15191.8701171875,0.9719855785369872,0.7399879246575568,22.02105712890625,0.1643693101140035,2.5837777105559625,0,0
BGD,Dhaka,Dhaka,2021-03-01,45171.5625,6.120539665222168,1.9604084110235247,99.92608642578124,0.2102904997190834,27.78749484676102,0,0
BGD,Rangpur,Dinajpur,2021-03-01,4937.21923828125,0.2764658033847809,0.3493133709764072,13.525026321411133,0.0349313370976407,1.0976494335139486,0,0
